Point Name,Code,Original Latitude,Original Longitude,Original Altitude,Station Correction x,Station Correction y,Station Correction h,Latitude,Longitude,Altitude,Antenna Height,Northing,Easting,Elevation,Solution Status,Used satellites,Tracked satellites,PDOP,HRMS,VRMS,AGE,Local date,Local time,Base ID,Base Latitude,Base Longitude,Base Altitude,Base North,Base East,Base Height,Distance to Ref,Inclination correction,Inclined angle,Projected angle,Correction x,Correction y,Correction h,Target,Station.,Offset,Elevation diff.,Dist to start,Tower Name,Tower No.,Azimuth,Pitch Angle
Pt1,,42°22'51.0556",21°10'44.9013",617.756,0.000,0.000,0.000,42°22'51.0556",21°10'44.9013",617.756,2.47,4693486.564,7514751.523,617.756,FIXED,21,23,1.33,0.006,0.009,1,2025-02-23,11:33:55,3100,42°22'50.9714",21°10'45.1168",620.118,4693483.974,7514756.455,620.118,5.574,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,617.756,,,,117°39'56.8057",21°19'37.1907"
Pt2,,42°22'51.4831",21°10'44.2777",617.719,0.000,0.000,0.000,42°22'51.4831",21°10'44.2777",617.719,2.47,4693499.721,7514737.229,617.719,FIXED,22,29,1.05,0.005,0.008,1,2025-02-23,11:34:59,3100,42°22'50.9714",21°10'45.1168",620.118,4693483.974,7514756.455,620.118,24.857,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,617.719,,,,129°19'47.7609",5°29'50.8617"
Pt3,,42°22'51.9115",21°10'43.6549",617.403,0.000,0.000,0.000,42°22'51.9115",21°10'43.6549",617.403,2.47,4693512.910,7514722.955,617.403,FIXED,23,25,1.04,0.006,0.009,1,2025-02-23,11:35:53,3100,42°22'50.9714",21°10'45.1168",620.118,4693483.974,7514756.455,620.118,44.276,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,617.403,,,,130°49'06.6511",3°30'07.071"
Pt4,objekt,42°22'52.0711",21°10'43.8725",618.084,0.000,0.000,0.000,42°22'52.0711",21°10'43.8725",618.084,2.47,4693517.844,7514727.924,618.084,FIXED,24,28,0.99,0.006,0.008,2,2025-02-23,11:36:32,3100,42°22'50.9714",21°10'45.1168",620.118,4693483.974,7514756.455,620.118,44.296,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,618.084,,,,139°49'24.3669",2°37'22.0439"
Pt5,,42°22'52.3253",21°10'44.0686",618.391,0.000,0.000,0.000,42°22'52.3253",21°10'44.0686",618.391,2.47,4693525.696,7514732.392,618.391,FIXED,28,31,0.99,0.005,0.008,1,2025-02-23,11:37:33,3108,42°22'52.0747",21°10'43.8542",620.008,4693517.955,7514727.504,620.008,9.196,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,618.391,,,,212°16'47.9838",9°52'11.187"
Pt6,,42°22'52.7373",21°10'44.4811",618.003,0.000,0.000,0.000,42°22'52.7373",21°10'44.4811",618.003,2.47,4693538.427,7514741.801,618.003,FIXED,27,30,1,0.005,0.006,1,2025-02-23,11:39:05,3108,42°22'52.0747",21°10'43.8542",620.008,4693517.955,7514727.504,620.008,24.979,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,618.003,,,,214°55'45.3558",4°34'30.1977"
Pt7,objekt,42°22'53.0138",21°10'45.0685",618.072,0.000,0.000,0.000,42°22'53.0138",21°10'45.0685",618.072,2.47,4693546.987,7514755.219,618.072,FIXED,31,34,1,0.006,0.008,1,2025-02-23,11:40:07,3108,42°22'52.0747",21°10'43.8542",620.008,4693517.955,7514727.504,620.008,40.148,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,618.072,,,,223°41'02.8777",2°45'13.5573"
Pt8,,42°22'53.1542",21°10'44.8981",617.584,0.000,0.000,0.000,42°22'53.1542",21°10'44.8981",617.584,2.47,4693551.310,7514751.313,617.584,FIXED,24,26,0.96,0.006,0.008,1,2025-02-23,11:41:12,3108,42°22'52.0747",21°10'43.8542",620.008,4693517.955,7514727.504,620.008,40.989,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,617.584,,,,215°31'41.6978",3°22'41.4302"
Pt9,,42°22'52.6522",21°10'45.6383",617.469,0.000,0.000,0.000,42°22'52.6522",21°10'45.6383",617.469,2.47,4693535.858,7514768.276,617.469,FIXED,26,29,0.94,0.004,0.006,1,2025-02-23,11:45:39,3108,42°22'52.0747",21°10'43.8542",620.008,4693517.955,7514727.504,620.008,44.538,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,617.469,,,,246°17'24.4074",3°15'09.4202"
Pt10,,42°22'52.1578",21°10'46.3746",617.323,0.000,0.000,0.000,42°22'52.1578",21°10'46.3746",617.323,2.47,4693520.639,7514785.151,617.323,FIXED,24,29,0.96,0.005,0.007,1,2025-02-23,11:46:29,3108,42°22'52.0747",21°10'43.8542",620.008,4693517.955,7514727.504,620.008,57.721,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,617.323,,,,267°20'06.6444",2°39'35.7764"
